node_id,accuracy,test_loss,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9
0,-0.009562490476190476,-0.00875875516697281,-0.007661326098155677,0.003576030682537544,-0.009562490476190476,-0.10327042857142858,-0.03480949999999999,0.007091119047619047,-0.06279961904761906,0.017680809523809512,-0.014009476190476194,0.02922316666666666,0.013293238095238094,0.038801642857142854,0.013174142857142855
1,-0.009195076190476189,-0.028146707771952162,-0.006282604465792319,0.005068772936215161,-0.009195076190476192,-0.11977228571428569,-0.030321928571428566,0.0069640952380952414,-0.04343438095238095,-0.04691530952380953,-0.014763547619047624,0.09199516666666664,0.014271261904761898,0.040977499999999986,0.009048666666666665
2,-0.010066790476190477,-0.01106696875772587,-0.007808936406599836,0.0014173067395346288,-0.010066790476190475,-0.11825785714285716,-0.031873119047619046,0.013403785714285717,-0.06094340476190478,0.003899095238095236,-0.02451009523809524,0.03708652380952381,0.02005138095238094,0.04233869047619046,0.018137095238095237
3,-0.011584319047619045,0.009261919024688823,-0.010351783623623602,-0.002188349459101906,-0.011584319047619047,-0.11068080952380954,-0.03153095238095238,0.01774790476190477,-0.06042233333333333,-0.00395371428571429,-0.017607785714285715,0.03398561904761904,0.016255047619047603,0.03517614285714286,0.005187690476190475
4,-0.010676454761904758,-0.011028521713864843,-0.008852265552468963,0.004030655680298864,-0.010676454761904762,-0.11741271428571426,-0.04079466666666667,-0.002409238095238095,-0.056677904761904783,0.009241190476190474,-0.007786023809523805,0.06168385714285714,0.009918857142857137,0.028603642857142862,0.008868452380952381
5,0.021760142857142853,-0.12538485810223912,0.02235666444869078,0.0230620941539852,0.02176014285714286,0.13504495238095238,0.09387464285714284,0.02135821428571429,0.12315280952380953,0.016370000000000003,0.035392761904761906,-0.09790207142857144,-0.019837428571428558,-0.053865809523809524,-0.035986642857142856
6,0.02180994523809524,-0.13125994512321268,0.021911837935906647,0.019921312064371796,0.02180994523809524,0.09692016666666665,0.07603385714285714,-0.019806142857142852,0.12915819047619045,0.07162673809523808,0.010179476190476194,-0.07835311904761907,0.003239595238095236,-0.04289128571428571,-0.028008023809523802
7,0.022080042857142858,-0.12823233604446518,0.02204953716589307,0.02134671693383394,0.022080042857142854,0.12337647619047618,0.08455916666666667,-0.0011597380952380965,0.12776664285714284,0.051231190476190486,0.020424690476190478,-0.09291164285714285,-0.005804452380952374,-0.0528930238095238,-0.03378888095238095
